"","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","old_new","conf_resp.keys","conf_resp.rt","response","key_resp_2.keys","participant","recog_acc","in_out_resp","in_out_corr_resp","in_out_rt","fixation_prediction","fixation_error","trial_n","age","gender","handedness","location_error","age_group"
"78","1.80005495814032","106.588235294118","196.588235294118","16.5882352941177","low","103.187863842439","maps/google_map_1.png","3.40037145167908","objects/1/1_2.jpg","0.0","indoors","Teabag.jpg","old",6,2.48119739699177,85,"['return']",54,1,"indoors",1,0.495775856310502,NA,NA,37,9,"m","r",18.187863842439,"CH"
"80","3.0828177944872","106.588235294118","196.588235294118","16.5882352941177","medium","176.722039174425","maps/google_map_1.png","70.1338038803078","objects/1/1_51.jpg","0.0","indoors","DusterFeather.jpg","old",6,1.32764937123284,285.5,"['return']",54,1,"indoors",1,0.966431746026501,NA,NA,71,9,"m","r",108.777960825575,"CH"
"84","1.72084475754095","106.588235294118","196.588235294118","16.5882352941177","low","98.6471517061692","maps/google_map_1.png","7.94108358794847","objects/1/1_3.jpg","0.0","outdoors","Pig.jpg","old",6,2.26502615190111,303,"['return']",54,1,"outdoors",1,0.461129007162526,NA,NA,4,9,"m","r",155.647151706169,"CH"
"86","5.05333195176427","106.588235294118","196.588235294118","16.5882352941177","high","289.681449464194","maps/google_map_1.png","176.906785829924","objects/1/1_127.jpg","0.0","outdoors","FireHydrant.jpg","old",6,2.09196958900429,193.5,"['return']",54,1,"outdoors",1,0.328511301195249,NA,NA,100,9,"m","r",96.181449464194,"CH"
"88","4.5114515497208","106.588235294118","196.588235294118","16.5882352941177","high","258.61824170374","maps/google_map_1.png","152.030006409623","objects/1/1_67.jpg","0.0","outdoors","Acorn.jpg","old",6,1.47865499439649,289,"['return']",54,1,"outdoors",1,0.299155484419316,NA,NA,29,9,"m","r",30.38175829626,"CH"
"92","1.85787770373502","106.588235294118","196.588235294118","16.5882352941177","low","106.502543526211","maps/google_map_1.png","0.085691767906562","objects/1/1_53.jpg","0.0","indoors","NailPolish.jpg","old",6,3.05227225250565,78,"['return']",54,1,"indoors",1,1.78915120917372,NA,NA,1,9,"m","r",28.502543526211,"CH"
"97","1.72879956789788","106.588235294118","196.588235294118","16.5882352941177","low","99.1031599431908","maps/google_map_1.png","7.48507535092688","objects/1/1_75.jpg","0.0","outdoors","Horseshoe.jpg","old",6,2.427568964893,78,"['return']",54,1,"outdoors",1,0.0479823455680162,NA,NA,50,9,"m","r",21.1031599431908,"CH"
"99","1.51762379825225","106.588235294118","196.588235294118","16.5882352941177","low","86.99754257497","maps/google_map_1.png","19.5906927191477","objects/1/1_12.jpg","0.0","indoors","PhoneCase.jpg","old",6,2.16509661544114,313,"['return']",54,1,"indoors",1,1.14364813780412,NA,NA,63,9,"m","r",133.99754257497,"CH"
"102","1.56390650789343","106.588235294118","196.588235294118","16.5882352941177","low","89.6506915352922","maps/google_map_1.png","16.9375437588255","objects/1/1_57.jpg","0.0","outdoors","Hat_Hard.jpg","old",6,1.84266564669088,96.5,"['return']",54,1,"indoors",0,4.50930123240687,NA,NA,18,9,"m","r",6.8493084647078,"CH"
"105","1.91166279984734","106.588235294118","196.588235294118","16.5882352941177","low","109.585765596344","maps/google_map_1.png","2.99753030222678","objects/1/1_41.jpg","0.0","indoors","FloppyDisk.jpg","old",1,1.93579384707846,125,"['return']",54,0,"indoors",1,1.27006009803154,NA,NA,6,9,"m","r",15.414234403656,"CH"
"107","0.438456582633053","106.588235294118","106.588235294118","203.126050420168","singletons","25.1344537815126","maps/google_map_1.png","None","objects/1/1_73.jpg","0.0","outdoors","Teardrop.jpg","old",6,2.5992204232607,49,"['return']",54,1,"indoors",0,0.373849583091214,NA,NA,87,9,"m","r",23.8655462184874,"CH"
"110","1.6488664799253","106.588235294118","106.588235294118","178.991596638655","singletons","94.5210084033613","maps/google_map_1.png","None","objects/1/1_91.jpg","0.0","outdoors","Toad.jpg","old",6,1.89587136055343,77,"['return']",54,1,"outdoors",1,0.325624438002706,NA,NA,14,9,"m","r",17.5210084033613,"CH"
"112","2.19736201408802","106.588235294118","196.588235294118","16.5882352941177","low","125.963427559186","maps/google_map_1.png","19.375192265068","objects/1/1_9.jpg","0.0","indoors","Perfume.jpg","old",6,3.67192697688006,123.5,"['return']",54,1,"indoors",1,0.634917148388922,NA,NA,5,9,"m","r",2.463427559186,"CH"
"116","5.06959010270775","106.588235294118","106.588235294118","338.882352941176","singletons","290.613445378151","maps/google_map_1.png","None","objects/1/1_104.jpg","0.0","indoors","Desk_Office.jpg","old",6,1.99123502778821,52.5,"['return']",54,1,"indoors",1,0.828440260142088,NA,NA,27,9,"m","r",121.886554621849,"CH"
"121","4.17953126665423","106.588235294118","196.588235294118","16.5882352941177","medium","239.590964330497","maps/google_map_1.png","133.00272903638","objects/1/1_80.jpg","0.0","indoors","Tofu.jpg","old",6,2.22089027520269,303,"['return']",54,1,"indoors",1,0.305279444670305,NA,NA,56,9,"m","r",63.409035669503,"CH"
"124","1.51870307267211","106.588235294118","196.588235294118","16.5882352941177","low","87.0594118092294","maps/google_map_1.png","19.5288234848883","objects/1/1_92.jpg","0.0","outdoors","Iguana.jpg","old",6,2.40952647058293,82.5,"['return']",54,1,"outdoors",1,0.319450123468414,NA,NA,59,9,"m","r",4.5594118092294,"CH"
